step,rebuild_triggered,last_true_target,prediction,error,threshold,feature_MLUT4_AIA792101B,feature_MLUT4_TE-252D,feature_MLUT4_FIC-231B,feature_MLUT4_AT-232A,feature_MLUT4_TE-252F,feature_MLUT4_FIC-231C,feature_MLUT4_PIC-233,feature_MLUT4_TE-252G,feature_MLUT4_TE-252I,feature_前爐SOx濃度,feature_鈣硫比,feature_MLUT4_FIC-231A,feature_MLUT4_IT-E7925B,feature_MLUT4_FIC-233,feature_MLUT4_ZT-232,feature_MLUT4_FT-792020,feature_MLUT4_IT-E7925A,feature_MLUT4_TE-251A,feature_MLUT4_PDT-232,feature_MLUT4_TE-251G,feature_MLUT4_FQ-205,feature_MLUT4_TE-251D,feature_MLUT4_TE-251F,feature_MLUT4_TE-251H,feature_MLUT4_RQ-2BTLS,feature_prev_target,feature_0
46,False,0.8114312628634333,0.7993584871292114,0.01149282254055728,0.017092347987006918,4.134589028378269,965.5790221267582,11.70314028488958,233.2799894738245,938.9537603612359,12.53592417071711,968.0404335282207,921.7711417599951,907.0,586.1528954860154,3.048148172422241,17.6203735068199,15.32284152314056,204.1687151192697,16.39999961853027,13865.97009603824,12.5,904.2779996631849,100.0545551076062,933.5540308527027,384.4259135968584,938.4521179964947,933.9198518268877,969.954362049132,3.183209936495349,0.804652116470001,
47,False,0.808665720258339,0.7998420596122742,0.009307233129127623,0.017068230101133453,4.134793606356497,965.7646657191614,11.70314983051752,233.0210552580994,939.0,12.53586382034833,968.0,921.8352423177146,907.0,586.8241759657873,3.064238286059819,17.62029751025089,15.44368516265679,203.1136361784353,16.39999961853027,13890.49363216155,12.5,904.0398960800476,101.3488795655296,933.6117241310543,384.4654413570883,938.3775392023647,934.532014699996,969.9749138954503,3.200000047683716,0.8063293647067832,
48,False,0.8041603490571233,0.7981536984443665,0.004318289444849133,0.017044112215259987,4.134998184334725,965.950309311564,11.70315937614546,232.6134904868125,939.0,12.53580346997954,968.2211418569619,921.8993428754338,906.7788581430381,587.5637723648381,3.064250683355943,17.62022151368187,15.5757244232999,203.8406395192634,16.39999961853027,13907.87565711137,12.5,903.8017924969106,102.1400751784641,933.669417409406,385.367737204857,938.7056493121256,934.4858079489183,969.8665511396114,3.200000047683716,0.8054229529467297,
49,False,0.7964436960723736,0.798915445804596,0.0017100023719928137,0.01701999432938652,4.135202762312954,966.1359529039671,11.70316892177339,231.9913059258565,939.0,12.53574311961076,968.5234287604396,921.9634434331531,906.0592926443156,588.6840816407953,3.064263080752382,17.62014551711285,15.67555560549097,204.2457909949485,16.39999961853027,13880.14446057543,12.5,903.6404401304499,98.57512954449112,933.8627254206788,386.164934920806,939.0819587417109,934.474735480313,969.7427581196669,3.200000047683716,0.8016706037975966,
50,False,0.7941866347460548,0.7990378141403198,0.004728811058541171,0.01699587644351306,4.135407340291183,966.3215964963699,11.70317846740133,232.5043444759992,939.0,12.53568276924198,966.7403940658253,922.0621739262922,906.0,588.4721349740015,3.064275478249135,17.62006952054383,15.62138101365092,203.7908643774002,16.39999961853027,13903.10860806206,12.5,903.7412009568234,100.0671153876348,934.2087311965413,386.0378826721555,939.4582681712964,934.7973996394318,969.6189650997223,3.200000047683716,0.7985431217246767,
51,False,0.7979852994077866,0.7986834645271301,0.0010525147325332052,0.016971758557639594,4.135611918269411,966.4823276026931,11.70318801302927,233.0979154802982,939.0,12.53562241887319,965.3311282905066,922.206206688514,906.0,587.5391968292457,3.064287875846206,17.61999352397481,15.54712826086594,202.2845330793385,16.39999961853027,13954.98767487929,12.5,903.8637500130969,98.97232038217956,934.5548693894947,385.6824846923204,939.8345776008816,935.1534709999102,969.4556276733281,3.200000047683716,0.7983100128911241,
52,False,0.8002899695325039,0.7988952398300171,0.0016065050053737373,0.01694764067176613,4.135816496247639,966.5146929316012,11.70319755865721,233.5101345466135,939.0,12.53556206850441,966.0905878674639,922.3504374577449,906.0,586.2824401171985,3.064300273543594,17.61991752740579,15.47287550808096,204.3556037335069,16.39999961853027,13967.91123356048,12.5,903.9862990693706,98.4999052749142,934.9010075824483,385.02066742714,940.1628693587178,935.4466658251547,969.148540053697,3.200000047683716,0.7991374186244226,
53,False,0.7972493760721453,0.7994968295097351,0.0016458637578717905,0.016402158858645245,4.136021074225868,966.5288343487946,11.70320710428514,234.0536404645319,939.1193901295734,12.53550171813562,966.7497946280015,922.4946682269756,906.0,584.4402576508766,3.064312671341302,17.61984153083677,15.39862275529597,208.0470453818858,16.39999961853027,13945.75128229242,12.5,904.1088481181357,99.29636362453081,935.2471457754016,385.4417195791738,940.233965460415,935.4003339860008,969.1339495678033,3.200000047683716,0.7983484229465289,
54,False,0.7922980489475652,0.8037402629852295,0.0071987805621699374,0.01585667704552436,4.136225652204097,966.5429757659883,11.70321664991308,235.3434239534364,939.8614593272135,12.53544136776684,966.2476474307292,922.6388989962064,906.0,586.6700797176943,3.064325069239331,17.61976553426776,15.32437000251099,209.3218997516506,16.39999961853027,13908.20835975434,12.5,904.2313971327673,100.056195871386,935.5192786155185,385.0379203842387,940.2669650705845,935.3032692119707,969.166969324255,3.200000047683716,0.7958200271065806,
55,True,0.7765769617249496,0.7924466729164124,0.027163301260279882,0.017116465872880383,4.136430230182325,966.5571171831818,11.70322619554102,235.5046929853362,940.0,12.53538101739805,966.7539893275158,922.7831297654373,906.0,589.6406638013146,3.064337467237681,17.61968953769874,15.25011724972601,210.0379578143688,16.39999961853027,13973.83245736466,12.5,904.3539461432086,99.472952559469,935.6220935652578,384.1512797350737,940.2773411721361,935.2062044379409,969.226717976703,3.200000047683716,0.7877785264543729,
56,False,0.7755517787079159,0.7921691536903381,0.016894894208496436,0.016894894208496436,4.136634808160553,966.5712586003754,11.70323574116896,236.0909638694566,940.0,12.53532066702927,966.1169404153782,922.927360534668,905.858761143147,590.029842787925,3.041736080288026,17.61961354112972,15.17586449694103,209.8971168388925,16.39999961853027,13979.860144637,12.5,904.4764951536501,99.95365760297659,935.7182681549136,383.2876505260757,940.1515952300813,935.1091396639109,969.4472901339325,3.176385213734259,0.7826690806344065,
57,False,0.7902971929273221,0.7938998937606812,0.0018719607630159896,0.015392600863948391,4.136839386138782,966.5854000175692,11.70324528679689,236.507844687718,940.0,12.53526031666048,966.2377033684631,923.0715913038987,905.0390636889981,589.6755288166557,2.898642529425278,17.6195375445607,15.12992676747463,209.5734921794993,16.39999961853027,13935.56420964872,12.5,904.5544806320001,104.329505568295,935.77962803766,382.9744254383187,940.0030986634035,935.032623045274,969.694741370339,3.026945065456336,0.7858567988467632,
